trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,000858.SZ,18.3859,20.1402,18.3178,20.1402,18.3092,1.8309999999999995,10.0004,1673427.64,3804923.2824,0
2015-01-06,000858.SZ,20.1402,20.4212,19.8251,20.2338,20.1402,0.09359999999999857,0.4647,1280984.99,3026412.8175,0
2015-01-07,000858.SZ,20.2509,20.8811,19.7825,19.9954,20.2338,-0.2383999999999986,-1.1782,930954.2,2215338.5038,0
2015-01-08,000858.SZ,20.055,20.7704,19.7655,20.3786,19.9954,0.38319999999999865,1.9164,886984.87,2110107.1699,0
2015-01-09,000858.SZ,20.1998,21.2472,20.1913,20.1998,20.3786,-0.17879999999999896,-0.8774,972303.66,2367707.5894,0
2015-01-12,000858.SZ,20.0039,20.0806,19.3397,19.6207,20.1998,-0.5791000000000004,-2.8669,707087.19,1636654.0753,0
2015-01-13,000858.SZ,19.5185,19.9102,19.3823,19.5611,19.6207,-0.05959999999999965,-0.3038,368958.97,850294.0645,0
2015-01-14,000858.SZ,19.5696,19.757,18.8883,19.0161,19.5611,-0.5449999999999982,-2.7861,561031.11,1267417.8607,0
2015-01-15,000858.SZ,19.0331,19.4759,18.8117,19.4674,19.0161,0.4512999999999998,2.3733,424338.56,953670.3611,0
2015-01-16,000858.SZ,19.6037,19.9273,19.4844,19.9017,19.4674,0.43430000000000035,2.2309,476743.05,1103523.3413,0
2015-01-19,000858.SZ,18.9905,19.5696,17.9686,18.3518,19.9017,-1.549900000000001,-7.7878,756779.34,1682074.6611,0
2015-01-20,000858.SZ,18.5477,19.0587,18.437,18.8287,18.3518,0.47690000000000055,2.5987,527851.48,1163823.5725,0
2015-01-21,000858.SZ,19.1353,19.4589,18.7776,19.3908,18.8287,0.5620999999999974,2.9853,489563.88,1103695.6333,0
2015-01-22,000858.SZ,19.4589,19.8251,19.2715,19.5355,19.3908,0.14470000000000027,0.7462,460675.75,1056323.347,0
2015-01-23,000858.SZ,19.5526,19.6463,18.9479,19.0842,19.5355,-0.4512999999999998,-2.3102,521083.15,1177290.6536,0
2015-01-26,000858.SZ,19.1012,19.3823,18.9139,19.3226,19.0842,0.23840000000000217,1.2492,403984.7,907596.6237,0
2015-01-27,000858.SZ,19.3397,19.7229,19.2034,19.6122,19.3226,0.2896000000000001,1.4988,655775.29,1500762.8424,0
2015-01-28,000858.SZ,19.4589,19.6888,19.2886,19.3312,19.6122,-0.28100000000000236,-1.4328,365013.79,834904.5688,0
2015-01-29,000858.SZ,19.1523,19.2801,18.9054,18.9309,19.3312,-0.4002999999999979,-2.0707,330537.58,738994.4624,0
2015-01-30,000858.SZ,18.9905,19.263,18.9054,18.9054,18.9309,-0.025500000000000966,-0.1347,304848.04,683442.3018,0
2015-02-02,000858.SZ,18.5988,18.735,18.2241,18.2752,18.9054,-0.6301999999999985,-3.3334,363009.5,784198.1372,0
2015-02-03,000858.SZ,18.437,18.5307,18.1389,18.4796,18.2752,0.2043999999999997,1.1185,305806.87,658352.8495,0
2015-02-04,000858.SZ,18.4881,18.718,18.3348,18.3603,18.4796,-0.11930000000000263,-0.6456,274984.56,597942.788,0
2015-02-05,000858.SZ,18.5818,18.6925,17.9686,18.0112,18.3603,-0.34909999999999997,-1.9014,322855.68,696131.6683,0
2015-02-06,000858.SZ,17.9516,18.0623,17.2107,17.3129,18.0112,-0.6982999999999997,-3.877,427790.56,882436.886,0
2015-02-09,000858.SZ,17.3214,17.7387,17.2873,17.6876,17.3129,0.3747000000000007,2.1643,307058.13,635654.4772,0
2015-02-10,000858.SZ,17.6876,18.3007,17.6876,18.0112,17.6876,0.323599999999999,1.8295,278326.77,588688.755,0
2015-02-11,000858.SZ,18.0367,18.156,17.9005,17.9942,18.0112,-0.01699999999999946,-0.0944,172477.33,365326.4271,0
2015-02-12,000858.SZ,18.0623,18.4285,18.0282,18.3348,17.9942,0.340600000000002,1.8928,269649.91,577766.8607,0
2015-02-13,000858.SZ,18.4796,18.5477,18.2582,18.2922,18.3348,-0.04260000000000019,-0.2323,329246.57,712611.8566,0
2015-02-16,000858.SZ,18.3518,18.3518,18.0112,18.2156,18.2922,-0.07660000000000267,-0.4188,288476.55,614730.9553,0
2015-02-17,000858.SZ,18.2667,18.3433,18.0453,18.1134,18.2156,-0.10219999999999985,-0.5611,299423.2,638878.0023,0
2015-02-25,000858.SZ,18.1219,18.173,17.5513,17.645,18.1134,-0.46839999999999904,-2.5859,434505.85,907219.7045,0
2015-02-26,000858.SZ,17.6195,18.0878,17.5513,18.0708,17.645,0.42579999999999885,2.4131,293709.05,616116.0262,0
2015-02-27,000858.SZ,18.1389,18.4285,18.1049,18.2071,18.0708,0.1363000000000021,0.7543,471028.33,1009783.0664,0
2015-03-02,000858.SZ,18.2667,18.2667,17.9516,18.0878,18.2071,-0.11929999999999907,-0.6552,460759.49,976106.9395,0
2015-03-03,000858.SZ,18.0538,18.0538,17.6961,17.7387,18.0878,-0.34909999999999997,-1.93,384563.14,806020.7583,0
2015-03-04,000858.SZ,17.8238,17.9516,17.6961,17.9175,17.7387,0.17879999999999896,1.008,282399.03,591907.1836,0
2015-03-05,000858.SZ,17.892,17.9345,17.4662,17.6535,17.9175,-0.26399999999999935,-1.4734,331191.19,687397.1233,0
2015-03-06,000858.SZ,17.7046,17.9345,17.6109,17.8153,17.6535,0.1617999999999995,0.9165,326828.35,683272.0155,0
2015-03-09,000858.SZ,17.7642,18.1219,17.5939,18.1134,17.8153,0.29809999999999803,1.6733,400692.06,839462.4231,0
2015-03-10,000858.SZ,18.1304,18.2922,18.0367,18.1474,18.1134,0.03400000000000247,0.1877,404489.05,862732.4947,0
2015-03-11,000858.SZ,18.1389,18.3944,18.0878,18.1389,18.1474,-0.008500000000001506,-0.0468,364304.28,780151.9238,0
2015-03-12,000858.SZ,18.2667,18.5136,18.0878,18.4796,18.1389,0.3407000000000018,1.8783,540556.28,1165160.3973,0
2015-03-13,000858.SZ,18.5221,18.5647,18.3092,18.4285,18.4796,-0.0511000000000017,-0.2765,377907.05,818028.7001,0
2015-03-16,000858.SZ,18.5392,18.8968,18.4796,18.8883,18.4285,0.4598000000000013,2.495,510504.87,1124314.5131,0
2015-03-17,000858.SZ,18.982,19.4674,18.8628,19.1438,18.8883,0.25549999999999784,1.3527,734385.27,1653452.5845,0
2015-03-18,000858.SZ,19.1523,19.4674,19.0161,19.4504,19.1438,0.30659999999999954,1.6016,612525.27,1389880.9752,0
2015-03-19,000858.SZ,19.3737,19.3823,18.9394,19.0927,19.4504,-0.3576999999999977,-1.839,575195.1,1294801.5059,0
2015-03-20,000858.SZ,19.1353,19.4759,19.0842,19.2715,19.0927,0.17879999999999896,0.9365,516933.48,1169876.4879,0
2015-03-23,000858.SZ,19.3482,19.5696,19.2971,19.4504,19.2715,0.17889999999999873,0.9283,648065.49,1477464.2929,0
2015-03-24,000858.SZ,19.5866,19.7399,19.0757,19.3823,19.4504,-0.0680999999999976,-0.3501,862353.26,1969214.4301,0
2015-03-25,000858.SZ,19.3823,19.3823,19.0842,19.1438,19.3823,-0.23850000000000193,-1.2305,571970.77,1289295.1123,0
