trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,600027.SH,10.4516,11.0842,10.2559,10.8733,10.542,0.3313000000000006,3.1427,2035869.3,1453738.242,0
2015-01-06,600027.SH,10.7378,10.7378,10.3161,10.4667,10.8733,-0.40660000000000096,-3.7394,1383369.0,964400.424,0
2015-01-07,600027.SH,10.3914,10.783,10.2559,10.6474,10.4667,0.18069999999999986,1.7264,988279.98,689079.81,0
2015-01-08,600027.SH,10.6173,10.6173,10.03,10.045,10.6474,-0.6023999999999994,-5.6577,952571.18,648272.058,0
2015-01-09,600027.SH,9.9547,10.2408,9.6986,9.7288,10.045,-0.31620000000000026,-3.1478,1114989.5,733208.788,0
2015-01-12,600027.SH,9.6083,9.6083,9.1866,9.3523,9.7288,-0.37650000000000006,-3.87,720098.21,448473.803,0
2015-01-13,600027.SH,9.2468,9.4878,9.2468,9.3071,9.3523,-0.04519999999999946,-0.4833,420401.15,261557.785,0
2015-01-14,600027.SH,9.3974,9.533,9.292,9.5179,9.3071,0.210799999999999,2.2649,567448.83,355131.728,0
2015-01-15,600027.SH,9.548,9.8191,9.4727,9.8041,9.5179,0.2862000000000009,3.007,691754.61,441753.972,0
2015-01-16,600027.SH,9.9396,9.9998,9.6535,9.7137,9.8041,-0.0904000000000007,-0.9221,683436.13,444661.765,0
2015-01-19,600027.SH,9.1866,9.3071,8.7499,8.7499,9.7137,-0.9637999999999991,-9.9221,910064.84,540909.814,0
2015-01-20,600027.SH,8.7348,9.0511,8.6746,8.8553,8.7499,0.1053999999999995,1.2046,769882.61,452173.545,0
2015-01-21,600027.SH,8.8703,9.3071,8.7649,9.2468,8.8553,0.3915000000000006,4.4211,802146.47,483876.755,0
2015-01-22,600027.SH,9.2619,9.3824,9.1113,9.2468,9.2468,0.0,0.0,639077.64,391554.777,0
2015-01-23,600027.SH,9.2619,9.3824,9.1565,9.1866,9.2468,-0.06020000000000003,-0.651,629704.69,386728.219,0
2015-01-26,600027.SH,9.1866,9.292,9.0661,9.277,9.1866,0.09039999999999893,0.984,575960.1,351262.693,0
2015-01-27,600027.SH,9.3673,9.3824,9.0059,9.277,9.277,0.0,0.0,804640.48,491911.045,0
2015-01-28,600027.SH,9.1565,9.2318,9.0511,9.0661,9.277,-0.21089999999999876,-2.2734,561201.33,340810.966,0
2015-01-29,600027.SH,8.9758,9.292,8.9155,9.1866,9.0661,0.12049999999999983,1.3291,772054.16,469820.132,0
2015-01-30,600027.SH,9.2619,9.5029,9.2017,9.292,9.1866,0.1053999999999995,1.1473,1197354.32,745269.557,0
2015-02-02,600027.SH,9.1113,9.1113,8.7499,8.795,9.292,-0.4969999999999999,-5.3487,742731.35,438470.198,0
2015-02-03,600027.SH,8.795,8.9155,8.5691,8.8252,8.795,0.03020000000000067,0.3434,733291.41,424279.915,0
2015-02-04,600027.SH,8.8252,8.9607,8.7499,8.78,8.8252,-0.04520000000000124,-0.5122,484185.77,284630.55,0
2015-02-05,600027.SH,8.9306,8.9306,8.283,8.4035,8.78,-0.37650000000000006,-4.2882,1101206.68,625076.435,0
2015-02-06,600027.SH,8.283,8.283,7.786,7.9065,8.4035,-0.496999999999999,-5.9142,851079.55,453162.097,0
2015-02-09,600027.SH,7.8161,8.042,7.7408,7.9969,7.9065,0.09039999999999981,1.1434,480729.14,252493.105,0
2015-02-10,600027.SH,7.9667,8.2378,7.9065,8.1926,7.9969,0.19570000000000043,2.4472,434898.05,234501.309,0
2015-02-11,600027.SH,8.2077,8.2679,8.1475,8.1926,8.1926,0.0,0.0,310341.57,168993.37,0
2015-02-12,600027.SH,8.2077,8.3884,8.1324,8.3282,8.1926,0.13560000000000016,1.6552,344061.14,188800.895,0
2015-02-13,600027.SH,8.3583,8.4938,8.283,8.3884,8.3282,0.06020000000000003,0.7228,410478.2,229086.354,0
2015-02-16,600027.SH,8.3884,8.4637,8.2981,8.3432,8.3884,-0.04520000000000124,-0.5388,287683.52,159353.72,0
2015-02-17,600027.SH,8.3583,8.4487,8.3282,8.4035,8.3432,0.0602999999999998,0.7227,301165.23,167844.15,0
2015-02-25,600027.SH,8.4185,8.6746,8.3432,8.539,8.4035,0.1355000000000004,1.6124,507406.12,287335.495,0
2015-02-26,600027.SH,8.524,8.795,8.4788,8.795,8.539,0.2560000000000002,2.998,626931.08,360972.243,0
2015-02-27,600027.SH,8.8101,8.9456,8.7197,8.795,8.795,0.0,0.0,569253.85,333904.383,0
2015-03-02,600027.SH,8.8703,9.0661,8.8101,9.0511,8.795,0.2561,2.9119,687096.61,407508.885,0
2015-03-03,600027.SH,9.0511,9.0511,8.7047,8.7348,9.0511,-0.3163,-3.4946,663894.0,389729.753,0
2015-03-04,600027.SH,8.7197,8.795,8.6746,8.7499,8.7348,0.015100000000000335,0.1729,367230.16,213195.463,0
2015-03-05,600027.SH,8.7348,8.7499,8.1475,8.4788,8.7499,-0.27110000000000056,-3.0983,569568.34,321254.604,0
2015-03-06,600027.SH,8.4788,8.5691,8.4185,8.5089,8.4788,0.030100000000000904,0.355,321304.5,181495.584,0
2015-03-09,600027.SH,8.4185,8.6746,8.2981,8.6444,8.5089,0.13549999999999862,1.5925,386432.76,218155.394,0
2015-03-10,600027.SH,8.6294,8.7499,8.5842,8.6746,8.6444,0.03020000000000067,0.3494,367754.26,212151.055,0
2015-03-11,600027.SH,8.6746,8.8703,8.6444,8.7348,8.6746,0.06020000000000003,0.694,436202.59,254067.435,0
2015-03-12,600027.SH,8.78,9.036,8.7499,9.036,8.7348,0.3011999999999997,3.4483,721587.39,426506.778,0
2015-03-13,600027.SH,9.036,9.0812,8.8854,8.9908,9.036,-0.04519999999999946,-0.5002,678235.0,404210.794,0
2015-03-16,600027.SH,9.0059,9.1264,8.9607,9.0812,8.9908,0.0904000000000007,1.0055,843419.4,507109.797,0
2015-03-17,600027.SH,9.1113,9.7438,9.0511,9.4426,9.0812,0.3613999999999997,3.9797,1476394.83,919026.184,0
2015-03-18,600027.SH,9.4878,9.7438,9.3974,9.6535,9.4426,0.21089999999999876,2.2335,1067153.45,677873.712,0
2015-03-19,600027.SH,9.6384,9.8492,9.4878,9.7739,9.6535,0.12040000000000006,1.2472,1309340.13,840570.789,0
2015-03-20,600027.SH,9.789,9.9547,9.6233,9.7589,9.7739,-0.014999999999998792,-0.1535,1052912.9,682075.514,0
2015-03-23,600027.SH,9.9095,10.2257,9.8492,10.2107,9.7589,0.45179999999999865,4.6296,1644138.61,1094921.734,0
2015-03-24,600027.SH,10.2709,10.6625,9.9697,10.4366,10.2107,0.2259000000000011,2.2124,1841809.8,1266459.821,0
