trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,600036.SH,13.5753,13.9934,13.3211,13.6736,13.5999,0.07370000000000054,0.5419,5001871.28,8302084.428,0
2015-01-06,600036.SH,13.4441,14.0999,13.3539,13.4605,13.6736,-0.21310000000000073,-1.5585,4268772.34,7100974.463,0
2015-01-07,600036.SH,13.2802,13.5753,13.067,13.2474,13.4605,-0.21309999999999896,-1.5832,2961696.04,4806397.453,0
2015-01-08,600036.SH,13.3211,13.3949,12.7309,12.7637,13.2474,-0.4837000000000007,-3.6513,2929211.1,4621824.801,0
2015-01-09,600036.SH,12.7555,13.5753,12.5916,12.8785,12.7637,0.11480000000000068,0.8994,4613634.97,7356771.842,0
2015-01-12,600036.SH,12.8703,13.0342,12.4604,12.7883,12.8785,-0.09020000000000117,-0.7004,2870027.87,4465049.959,0
2015-01-13,600036.SH,12.7227,12.9359,12.5834,12.6489,12.7883,-0.1394000000000002,-1.0901,1702516.1,2646920.635,0
2015-01-14,600036.SH,12.7637,13.0342,12.7063,12.8785,12.6489,0.22960000000000136,1.8152,2271408.65,3573843.577,0
2015-01-15,600036.SH,12.8785,13.272,12.7883,13.2638,12.8785,0.3852999999999991,2.9918,2646841.68,4216830.599,0
2015-01-16,600036.SH,13.3375,13.5261,13.1736,13.3129,13.2638,0.04910000000000103,0.3702,3125507.22,5096707.054,0
2015-01-19,600036.SH,11.9849,12.6243,11.9849,11.9931,13.3129,-1.3198000000000008,-9.9137,4990406.02,7432124.883,0
2015-01-20,600036.SH,12.0915,12.28,11.7554,12.0013,11.9931,0.00820000000000043,0.0684,3044808.93,4468888.256,0
2015-01-21,600036.SH,12.1325,12.6817,11.9603,12.5424,12.0013,0.5411000000000001,4.5087,3470440.52,5208895.152,0
2015-01-22,600036.SH,12.5424,12.5506,12.2637,12.403,12.5424,-0.1394000000000002,-1.1114,2156662.87,3267085.618,0
2015-01-23,600036.SH,12.485,12.7063,12.3866,12.4358,12.403,0.03279999999999994,0.2645,2494226.6,3814173.081,0
2015-01-26,600036.SH,12.4522,12.4932,12.1899,12.321,12.4358,-0.11480000000000068,-0.9231,1780964.42,2671404.494,0
2015-01-27,600036.SH,12.3374,12.3784,11.8456,12.0587,12.321,-0.26229999999999976,-2.1289,2569419.22,3785792.881,0
2015-01-28,600036.SH,11.9685,12.1653,11.8128,11.9112,12.0587,-0.14750000000000085,-1.2232,1741448.15,2541837.336,0
2015-01-29,600036.SH,11.7308,11.8292,11.5996,11.78,11.9112,-0.13119999999999976,-1.1015,1775306.85,2541569.62,0
2015-01-30,600036.SH,11.8292,11.9849,11.6406,11.7554,11.78,-0.02459999999999951,-0.2088,1818087.21,2625624.647,0
2015-02-02,600036.SH,11.4603,11.7226,11.3619,11.5505,11.7554,-0.2049000000000003,-1.743,1557868.28,2200454.412,0
2015-02-03,600036.SH,11.7636,11.9685,11.6406,11.9439,11.5505,0.39339999999999975,3.4059,1748843.21,2516020.347,0
2015-02-04,600036.SH,11.9685,12.0669,11.7062,11.7226,11.9439,-0.22129999999999939,-1.8528,1296214.66,1886445.069,0
2015-02-05,600036.SH,12.2964,12.3374,11.7226,11.739,11.7226,0.01640000000000086,0.1399,3370617.02,4973382.058,0
2015-02-06,600036.SH,11.7062,11.9521,11.5996,11.6816,11.739,-0.05740000000000123,-0.489,1638355.9,2356073.404,0
2015-02-09,600036.SH,11.6816,11.9194,11.4767,11.8128,11.6816,0.13119999999999976,1.1231,1719246.98,2454553.655,0
2015-02-10,600036.SH,11.862,12.0915,11.7472,12.0177,11.8128,0.2049000000000003,1.7346,1535259.79,2238448.213,0
2015-02-11,600036.SH,12.0423,12.1243,11.9357,12.0013,12.0177,-0.016399999999999082,-0.1365,935841.14,1372191.501,0
2015-02-12,600036.SH,12.0423,12.0505,11.7882,11.9439,12.0013,-0.05740000000000123,-0.4783,807480.86,1173109.185,0
2015-02-13,600036.SH,11.9849,12.1735,11.8948,11.9931,11.9439,0.0492000000000008,0.4119,1504714.74,2211523.668,0
2015-02-16,600036.SH,11.8046,11.8784,11.7226,11.8538,11.9931,-0.13930000000000042,-1.1615,1333875.16,1920460.647,0
2015-02-17,600036.SH,11.8456,11.9767,11.8128,11.903,11.8538,0.0492000000000008,0.4151,923713.1,1343475.258,0
2015-02-25,600036.SH,11.8866,11.9194,11.6242,11.7226,11.903,-0.18040000000000056,-1.5156,1267476.41,1821660.432,0
2015-02-26,600036.SH,11.7144,12.0751,11.6324,12.0259,11.7226,0.3033000000000001,2.5873,1559566.28,2262725.598,0
2015-02-27,600036.SH,12.0505,12.2964,12.0095,12.0505,12.0259,0.02459999999999951,0.2046,1456164.95,2157812.856,0
2015-03-02,600036.SH,12.1161,12.1571,11.8128,11.9439,12.0505,-0.10660000000000025,-0.8846,2192373.46,3192258.937,0
2015-03-03,600036.SH,11.8702,11.8948,11.5996,11.616,11.9439,-0.32789999999999964,-2.7453,1744176.4,2494347.046,0
2015-03-04,600036.SH,11.7472,11.7472,11.5587,11.6488,11.616,0.03279999999999994,0.2824,1259207.07,1787542.456,0
2015-03-05,600036.SH,11.5095,11.5669,11.3209,11.4029,11.6488,-0.2458999999999989,-2.1109,1735485.64,2421469.921,0
2015-03-06,600036.SH,11.4111,11.5505,11.4029,11.5177,11.4029,0.1147999999999989,1.0068,1021773.8,1432408.218,0
